"CODICE_REGIONE","CODICE_PROVINCIA","SIGLA_AUTOMOBILISTICA","ID_COMUNE","CODICE_COMUNE","LABEL_COMUNE_IT","LABEL_COMUNE_DE","DATA_INIZIO_VALIDITA","DATA_FINE_VALIDITA"
"01","002","VC","002058-(1955-04-29)","002058","FONTANETTO PO","","29-04-1955","31-12-9999"
"00","003","NO","003976-(1861-03-17)","003976","FORESTO","","17-03-1861","22-01-1863"
"00","003","NO","003976-(1863-01-22)","003976","FORESTO SESIA","","22-01-1863","12-01-1927"
"00","002","VC","002817-(1927-01-12)","002817","FORESTO SESIA","","12-01-1927","06-09-1928"
"00","002","VC","002817-(1928-09-06)","002817","FORESTO SESIA","","06-09-1928","06-09-1928"
"00","003","NO","003977-(1861-03-17)","003977","FORMIGLIANA","","17-03-1861","12-01-1927"
"00","002","VC","002059-(1927-01-12)","002059","FORMIGLIANA","","12-01-1927","01-01-1948"
"01","002","VC","002059-(1948-01-01)","002059","FORMIGLIANA","","01-01-1948","10-11-1956"
"01","002","VC","002059-(1956-11-10)","002059","FORMIGLIANA","","10-11-1956","31-12-9999"
"00","003","NO","003978-(1861-03-17)","003978","GAGLIANICO","","17-03-1861","12-01-1927"
"00","002","VC","002060-(1927-01-12)","002060","GAGLIANICO","","12-01-1927","01-01-1948"
"01","002","VC","002060-(1948-01-01)","002060","GAGLIANICO","","01-01-1948","01-01-1995"
"01","096","BI","096026-(1995-01-01)","096026","GAGLIANICO","","01-01-1995","31-12-9999"
"00","003","NO","003979-(1861-03-17)","003979","GATTINARA","","17-03-1861","12-01-1927"
"00","002","VC","002061-(1927-01-12)","002061","GATTINARA","","12-01-1927","01-01-1948"
"01","002","VC","002061-(1948-01-01)","002061","GATTINARA","","01-01-1948","31-12-9999"
"00","003","NO","003980-(1861-03-17)","003980","GHISLARENGO","","17-03-1861","12-01-1927"
"00","002","VC","002062-(1927-01-12)","002062","GHISLARENGO","","12-01-1927","01-01-1948"
"01","002","VC","002062-(1948-01-01)","002062","GHISLARENGO","","01-01-1948","31-12-9999"
"00","003","NO","003981-(1861-03-17)","003981","GIFFLENGA","","17-03-1861","12-01-1927"
"00","002","VC","002063-(1927-01-12)","002063","GIFFLENGA","","12-01-1927","01-01-1948"
"01","002","VC","002063-(1948-01-01)","002063","GIFFLENGA","","01-01-1948","01-01-1995"
"01","096","BI","096027-(1995-01-01)","096027","GIFFLENGA","","01-01-1995","31-12-9999"
"00","003","NO","003982-(1861-03-17)","003982","GRAGLIA","","17-03-1861","12-01-1927"
"00","002","VC","002064-(1927-01-12)","002064","GRAGLIA","","12-01-1927","01-01-1948"
"01","002","VC","002064-(1948-01-01)","002064","GRAGLIA","","01-01-1948","01-01-1995"
"01","096","BI","096028-(1995-01-01)","096028","GRAGLIA","","01-01-1995","31-12-9999"
"00","003","NO","003983-(1861-03-17)","003983","GREGGIO","","17-03-1861","12-01-1927"
"00","002","VC","002065-(1927-01-12)","002065","GREGGIO","","12-01-1927","01-01-1948"
"01","002","VC","002065-(1948-01-01)","002065","GREGGIO","","01-01-1948","31-12-9999"
"00","003","NO","003984-(1861-03-17)","003984","GUARDABOSONE","","17-03-1861","12-01-1927"
"00","002","VC","002066-(1927-01-12)","002066","GUARDABOSONE","","12-01-1927","01-01-1948"
"01","002","VC","002066-(1948-01-01)","002066","GUARDABOSONE","","01-01-1948","31-12-9999"
"00","003","NO","003985-(1861-03-17)","003985","ISOLELLA","","17-03-1861","12-01-1927"
"00","002","VC","002818-(1927-01-12)","002818","ISOLELLA","","12-01-1927","06-09-1928"
"00","002","VC","002818-(1928-09-06)","002818","ISOLELLA","","06-09-1928","06-09-1928"
"00","003","NO","003986-(1861-03-17)","003986","LAMPORO","","17-03-1861","12-01-1927"
"00","002","VC","002067-(1927-01-12)","002067","LAMPORO","","12-01-1927","01-01-1948"
"01","002","VC","002067-(1948-01-01)","002067","LAMPORO","","01-01-1948","31-12-9999"
"00","003","NO","003987-(1861-03-17)","003987","LENTA","","17-03-1861","12-01-1927"
"00","002","VC","002068-(1927-01-12)","002068","LENTA","","12-01-1927","01-01-1948"
"01","002","VC","002068-(1948-01-01)","002068","LENTA","","01-01-1948","31-12-9999"
"00","003","NO","003988-(1861-03-17)","003988","LESSONA","","17-03-1861","12-01-1927"
"00","002","VC","002069-(1927-01-12)","002069","LESSONA","","12-01-1927","01-01-1948"
"01","002","VC","002069-(1948-01-01)","002069","LESSONA","","01-01-1948","01-01-1995"
"01","096","BI","096029-(1995-01-01)","096029","LESSONA","","01-01-1995","01-01-2016"
"01","096","BI","096029-(2016-01-01)","096029","LESSONA","","01-01-2016","01-01-2016"
"00","003","NO","003989-(1861-03-17)","003989","LIGNANA","","17-03-1861","12-01-1927"
"00","002","VC","002070-(1927-01-12)","002070","LIGNANA","","12-01-1927","01-01-1948"
"01","002","VC","002070-(1948-01-01)","002070","LIGNANA","","01-01-1948","31-12-9999"
"00","003","NO","003990-(1861-03-17)","003990","LIVORNO VERCELLESE","","17-03-1861","01-06-1863"
"00","003","NO","003990-(1863-06-01)","003990","LIVORNO PIEMONTE","","01-06-1863","21-09-1924"
"00","003","NO","003990-(1924-09-21)","003990","LIVORNO FERRARIS","","21-09-1924","12-01-1927"
"00","002","VC","002071-(1927-01-12)","002071","LIVORNO FERRARIS","","12-01-1927","01-01-1948"
"01","002","VC","002071-(1948-01-01)","002071","LIVORNO FERRARIS","","01-01-1948","31-12-9999"
"00","003","NO","003991-(1861-03-17)","003991","LOCARNO","","17-03-1861","12-01-1927"
"00","002","VC","002819-(1927-01-12)","002819","LOCARNO","","12-01-1927","02-03-1929"
"00","002","VC","002819-(1929-03-02)","002819","LOCARNO","","02-03-1929","02-03-1929"
"00","003","NO","003992-(1861-03-17)","003992","LOZZOLO","","17-03-1861","12-01-1927"
"00","002","VC","002072-(1927-01-12)","002072","LOZZOLO","","12-01-1927","01-01-1948"
"01","002","VC","002072-(1948-01-01)","002072","LOZZOLO","","01-01-1948","31-12-9999"
"00","003","NO","003993-(1861-03-17)","003993","MAGNANO","","17-03-1861","12-01-1927"
"00","002","VC","002073-(1927-01-12)","002073","MAGNANO","","12-01-1927","01-01-1948"
"01","002","VC","002073-(1948-01-01)","002073","MAGNANO","","01-01-1948","01-01-1995"
"01","096","BI","096030-(1995-01-01)","096030","MAGNANO","","01-01-1995","31-12-9999"
"00","003","NO","003994-(1861-03-17)","003994","MASSAZZA","","17-03-1861","12-01-1927"
"00","002","VC","002074-(1927-01-12)","002074","MASSAZZA","","12-01-1927","01-01-1948"
"01","002","VC","002074-(1948-01-01)","002074","MASSAZZA","","01-01-1948","01-01-1995"
"01","096","BI","096031-(1995-01-01)","096031","MASSAZZA","","01-01-1995","31-12-9999"
"00","003","NO","003995-(1861-03-17)","003995","MASSERANO","","17-03-1861","12-01-1927"
"00","002","VC","002075-(1927-01-12)","002075","MASSERANO","","12-01-1927","01-01-1948"
"01","002","VC","002075-(1948-01-01)","002075","MASSERANO","","01-01-1948","01-01-1995"
"01","096","BI","096032-(1995-01-01)","096032","MASSERANO","","01-01-1995","31-12-9999"
"00","003","NO","003996-(1861-03-17)","003996","MEZZANA","","17-03-1861","01-06-1863"
"00","003","NO","003996-(1863-06-01)","003996","MEZZANA MORTIGLIENGO","","01-06-1863","12-01-1927"
"00","002","VC","002076-(1927-01-12)","002076","MEZZANA MORTIGLIENGO","","12-01-1927","01-01-1948"
"01","002","VC","002076-(1948-01-01)","002076","MEZZANA MORTIGLIENGO","","01-01-1948","01-01-1995"
"01","096","BI","096033-(1995-01-01)","096033","MEZZANA MORTIGLIENGO","","01-01-1995","31-12-9999"
"00","003","NO","003997-(1861-03-17)","003997","MIAGLIANO","","17-03-1861","12-01-1927"
"00","002","VC","002077-(1927-01-12)","002077","MIAGLIANO","","12-01-1927","21-05-1929"
"00","002","VC","002077-(1929-05-21)","002077","MIAGLIANO","","21-05-1929","21-05-1929"
"00","003","NO","003998-(1861-03-17)","003998","MOLLIA","","17-03-1861","12-01-1927"
"00","002","VC","002078-(1927-01-12)","002078","MOLLIA","","12-01-1927","01-01-1948"
"01","002","VC","002078-(1948-01-01)","002078","MOLLIA","","01-01-1948","31-12-9999"
"00","003","NO","003999-(1861-03-17)","003999","MONCRIVELLO","","17-03-1861","12-01-1927"
"00","002","VC","002079-(1927-01-12)","002079","MONCRIVELLO","","12-01-1927","01-01-1948"
"01","002","VC","002079-(1948-01-01)","002079","MONCRIVELLO","","01-01-1948","31-12-9999"
"00","004","CN","004001-(1861-03-17)","004001","ACCEGLIO","","17-03-1861","01-01-1948"
"01","004","CN","004001-(1948-01-01)","004001","ACCEGLIO","","01-01-1948","31-12-9999"
"00","004","CN","004002-(1861-03-17)","004002","AISONE","","17-03-1861","01-01-1948"
"01","004","CN","004002-(1948-01-01)","004002","AISONE","","01-01-1948","31-12-9999"
"00","004","CN","004003-(1861-03-17)","004003","ALBA","","17-03-1861","06-02-1931"
"00","004","CN","004003-(1931-02-06)","004003","ALBA","","06-02-1931","22-12-1947"
"00","004","CN","004003-(1947-12-22)","004003","ALBA","","22-12-1947","01-01-1948"
"01","004","CN","004003-(1948-01-01)","004003","ALBA","","01-01-1948","20-07-1957"
"01","004","CN","004003-(1957-07-20)","004003","ALBA","","20-07-1957","31-12-9999"
"00","004","CN","004004-(1861-03-17)","004004","ALBARETTO","","17-03-1861","11-01-1863"
"00","004","CN","004004-(1863-01-11)","004004","ALBARETTO DELLA TORRE","","11-01-1863","02-05-1928"
"00","004","CN","004004-(1928-05-02)","004004","ALBARETTO DELLA TORRE","","02-05-1928","02-05-1928"
"00","004","CN","004005-(1861-03-17)","004005","ALTO","","17-03-1861","01-01-1948"
"01","004","CN","004005-(1948-01-01)","004005","ALTO","","01-01-1948","31-12-9999"
"00","004","CN","004006-(1861-03-17)","004006","ARGENTERA","","17-03-1861","13-03-1928"
"00","004","CN","004006-(1928-03-13)","004006","ARGENTERA","","13-03-1928","01-01-1948"
"01","004","CN","004006-(1948-01-01)","004006","ARGENTERA","","01-01-1948","31-12-9999"
"00","004","CN","004007-(1861-03-17)","004007","ARGUELLO","","17-03-1861","02-05-1928"
"00","004","CN","004007-(1928-05-02)","004007","ARGUELLO","","02-05-1928","02-05-1928"
"00","004","CN","004008-(1861-03-17)","004008","BAGNASCO","","17-03-1861","28-06-1928"
"00","004","CN","004008-(1928-06-28)","004008","BAGNASCO","","28-06-1928","10-01-1947"
"00","004","CN","004008-(1947-01-10)","004008","BAGNASCO","","10-01-1947","01-01-1948"
"01","004","CN","004008-(1948-01-01)","004008","BAGNASCO","","01-01-1948","31-12-9999"
"00","004","CN","004009-(1861-03-17)","004009","BAGNOLO","","17-03-1861","11-01-1863"
"00","004","CN","004009-(1863-01-11)","004009","BAGNOLO PIEMONTE","","11-01-1863","01-01-1948"
"01","004","CN","004009-(1948-01-01)","004009","BAGNOLO PIEMONTE","","01-01-1948","31-12-9999"
"00","004","CN","004010-(1861-03-17)","004010","BALDISSERO","","17-03-1861","11-01-1863"
"00","004","CN","004010-(1863-01-11)","004010","BALDISSERO D'ALBA","","11-01-1863","01-01-1948"
"01","004","CN","004010-(1948-01-01)","004010","BALDISSERO D'ALBA","","01-01-1948","31-12-9999"
"00","004","CN","004011-(1861-03-17)","004011","BARBARESCO","","17-03-1861","01-01-1948"
"01","004","CN","004011-(1948-01-01)","004011","BARBARESCO","","01-01-1948","20-07-1957"
"01","004","CN","004011-(1957-07-20)","004011","BARBARESCO","","20-07-1957","14-08-1957"
"01","004","CN","004011-(1957-08-14)","004011","BARBARESCO","","14-08-1957","31-12-9999"
"00","004","CN","004012-(1861-03-17)","004012","BARGE","","17-03-1861","08-02-1911"
"00","004","CN","004012-(1911-02-08)","004012","BARGE","","08-02-1911","01-01-1948"
"01","004","CN","004012-(1948-01-01)","004012","BARGE","","01-01-1948","31-12-9999"
"00","004","CN","004013-(1861-03-17)","004013","BAROLO","","17-03-1861","01-01-1948"
"01","004","CN","004013-(1948-01-01)","004013","BAROLO","","01-01-1948","31-12-9999"
"00","004","CN","004014-(1861-03-17)","004014","BASTIA","","17-03-1861","11-01-1863"
"00","004","CN","004014-(1863-01-11)","004014","BASTIA MONDOVÌ","","11-01-1863","01-01-1948"
"01","004","CN","004014-(1948-01-01)","004014","BASTIA MONDOVÌ","","01-01-1948","31-12-9999"
"00","004","CN","004015-(1861-03-17)","004015","BATTIFOLLO","","17-03-1861","28-06-1928"
"00","004","CN","004015-(1928-06-28)","004015","BATTIFOLLO","","28-06-1928","28-06-1928"
"00","004","CN","004016-(1861-03-17)","004016","BEINETTE","","17-03-1861","01-01-1948"
"01","004","CN","004016-(1948-01-01)","004016","BEINETTE","","01-01-1948","31-12-9999"
"00","004","CN","004017-(1861-03-17)","004017","BELLINO","","17-03-1861","01-01-1948"
"01","004","CN","004017-(1948-01-01)","004017","BELLINO","","01-01-1948","31-12-9999"
